Wavelength,Anabaena,Aphanizomenon,Cylindrospermum-corrrected,Eucapsis,Gleocapsa,Gleotrichia,Lyngbya,Merismopedia,Microcystis,Nostoc,Oscillatoria,Spirulina,Tolypothrix
611.91,4.69,0.057577,0.038394,0.022192,0.01878,0.033674,0.016268,0.017236,0.074269,0.064492,0.059165,0.004551,0.021884,0.017817
617.12,4.69,0.057414,0.034783,0.020568,0.018004,0.031398,0.014315,0.015863,0.066546,0.061325,0.05581,0.004546,0.020215,0.017603
622.34,4.69,0.059684,0.031956,0.019433,0.018388,0.02949,0.01401,0.015267,0.061258,0.057008,0.051307,0.004348,0.020581,0.016812
627.56,4.69,0.061986,0.030168,0.019135,0.019795,0.02849,0.013995,0.014864,0.059939,0.055983,0.049901,0.003377,0.019787,0.018146
632.78,4.69,0.063604,0.029069,0.019562,0.021421,0.027868,0.014467,0.014081,0.059701,0.052564,0.050828,0.003375,0.020833,0.018132
638.01,4.69,0.061258,0.02844,0.020071,0.023402,0.026822,0.015226,0.014551,0.06023,0.050401,0.049919,0.00424,0.021779,0.018888
643.24,4.69,0.054248,0.028436,0.020482,0.02454,0.026007,0.015694,0.016175,0.060174,0.050355,0.048911,0.004044,0.021952,0.018871
648.48,4.69,0.046425,0.02738,0.01977,0.023537,0.024541,0.014232,0.016347,0.058851,0.045581,0.045485,0.004039,0.023175,0.019328
653.73,4.69,0.040311,0.024672,0.017674,0.020969,0.022171,0.012676,0.014692,0.052913,0.04187,0.038509,0.004321,0.023048,0.017382
658.98,4.69,0.035616,0.021579,0.015295,0.018352,0.020193,0.009973,0.01237,0.047853,0.038168,0.032701,0.003451,0.019851,0.016207
664.23,4.69,0.033696,0.018992,0.013425,0.016473,0.018864,0.009094,0.012062,0.042119,0.035324,0.029388,0.003254,0.018667,0.013689
669.49,4.69,0.037827,0.017278,0.01208,0.016286,0.017674,0.008314,0.011181,0.036218,0.032875,0.025134,0.002674,0.017489,0.012328
674.75,4.69,0.046915,0.016839,0.011623,0.019015,0.016725,0.008016,0.010687,0.035212,0.031491,0.024811,0.002575,0.01689,0.01231
